exchange,market_type,exchange_symbol,ccxt_symbol,ccxt_id,base_asset,quote_asset,settle,canonical_symbol,asset_class,verified,pair_data_class,status,tick_size,lot_size,min_order_size,min_order_notional,max_market_order_size,max_market_order_notional,max_position_size,max_position_notional,quantity_multiplier,price_multiplier
BITGET,UPERP,EWTUSDT,EWT/USDT:USDT,EWTUSDT,EWT,USDT,USDT,EWT,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,EWYUSDT,EWY/USDT:USDT,EWYUSDT,EWY,USDT,USDT,EWY,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,FLYUSDT,FLY/USDT:USDT,FLYUSDT,FLY,USDT,USDT,FLY,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,FUTUUSDT,FUTU/USDT:USDT,FUTUUSDT,FUTU,USDT,USDT,FUTU,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,GEUSDT,GE/USDT:USDT,GEUSDT,GE,USDT,USDT,GE,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,GMEUSDT,GME/USDT:USDT,GMEUSDT,GME,USDT,USDT,GME,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,GOOGLUSDT,GOOGL/USDT:USDT,GOOGLUSDT,GOOGL,USDT,USDT,GOOGL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,HOODUSDT,HOOD/USDT:USDT,HOODUSDT,HOOD,USDT,USDT,HOOD,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,HPEUSDT,HPE/USDT:USDT,HPEUSDT,HPE,USDT,USDT,HPE,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,HYUNDAIUSDT,HYUNDAI/USDT:USDT,HYUNDAIUSDT,HYUNDAI,USDT,USDT,HYUNDAI,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,IBMUSDT,IBM/USDT:USDT,IBMUSDT,IBM,USDT,USDT,IBM,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,INDAUSDT,INDA/USDT:USDT,INDAUSDT,INDA,USDT,USDT,INDA,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,INFQUSDT,INFQ/USDT:USDT,INFQUSDT,INFQ,USDT,USDT,INFQ,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,INTCUSDT,INTC/USDT:USDT,INTCUSDT,INTC,USDT,USDT,INTC,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,IONQUSDT,IONQ/USDT:USDT,IONQUSDT,IONQ,USDT,USDT,IONQ,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,IRENUSDT,IREN/USDT:USDT,IRENUSDT,IREN,USDT,USDT,IREN,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,IWMUSDT,IWM/USDT:USDT,IWMUSDT,IWM,USDT,USDT,IWM,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,JDUSDT,JD/USDT:USDT,JDUSDT,JD,USDT,USDT,JD,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,JOBYUSDT,JOBY/USDT:USDT,JOBYUSDT,JOBY,USDT,USDT,JOBY,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,KIOXIAUSDT,KIOXIA/USDT:USDT,KIOXIAUSDT,KIOXIA,USDT,USDT,KIOXIA,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,KLACUSDT,KLAC/USDT:USDT,KLACUSDT,KLAC,USDT,USDT,KLAC,TRADEFI,true,class1,OFFLINE,0.01,0.001,0.001,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,KOPNUSDT,KOPN/USDT:USDT,KOPNUSDT,KOPN,USDT,USDT,KOPN,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,KTOSUSDT,KTOS/USDT:USDT,KTOSUSDT,KTOS,USDT,USDT,KTOS,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,KWEBUSDT,KWEB/USDT:USDT,KWEBUSDT,KWEB,USDT,USDT,KWEB,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,LASERTECUSDT,LASERTEC/USDT:USDT,LASERTECUSDT,LASERTEC,USDT,USDT,LASERTEC,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,LITEUSDT,LITE/USDT:USDT,LITEUSDT,LITE,USDT,USDT,LITE,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,LLYUSDT,LLY/USDT:USDT,LLYUSDT,LLY,USDT,USDT,LLY,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,LMTUSDT,LMT/USDT:USDT,LMTUSDT,LMT,USDT,USDT,LMT,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,LWLGUSDT,LWLG/USDT:USDT,LWLGUSDT,LWLG,USDT,USDT,LWLG,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,MCDUSDT,MCD/USDT:USDT,MCDUSDT,MCD,USDT,USDT,MCD,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,MDBUSDT,MDB/USDT:USDT,MDBUSDT,MDB,USDT,USDT,MDB,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,METAUSDT,META/USDT:USDT,METAUSDT,META,USDT,USDT,META,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,MPUSDT,MP/USDT:USDT,MPUSDT,MP,USDT,USDT,MP,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,MRVLUSDT,MRVL/USDT:USDT,MRVLUSDT,MRVL,USDT,USDT,MRVL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,MSFTUSDT,MSFT/USDT:USDT,MSFTUSDT,MSFT,USDT,USDT,MSFT,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,MSTRUSDT,MSTR/USDT:USDT,MSTRUSDT,MSTR,USDT,USDT,MSTR,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,MUUSDT,MU/USDT:USDT,MUUSDT,MU,USDT,USDT,MU,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NATGASUSDT,NATGAS/USDT:USDT,NATGASUSDT,NATGAS,USDT,USDT,NATGAS,TRADEFI,true,class1,TRADING,0.001,0.1,0.1,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NBISUSDT,NBIS/USDT:USDT,NBISUSDT,NBIS,USDT,USDT,NBIS,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NDX100USDT,NDX100/USDT:USDT,NDX100USDT,NDX100,USDT,USDT,NAS100,TRADEFI,true,class1,TRADING,1.0,0.0001,0.0001,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NFLXUSDT,NFLX/USDT:USDT,NFLXUSDT,NFLX,USDT,USDT,NFLX,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NIOUSDT,NIO/USDT:USDT,NIOUSDT,NIO,USDT,USDT,NIO,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NOCUSDT,NOC/USDT:USDT,NOCUSDT,NOC,USDT,USDT,NOC,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NOKSTOCKUSDT,NOKSTOCK/USDT:USDT,NOKSTOCKUSDT,NOKSTOCK,USDT,USDT,NOK,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NOWUSDT,NOW/USDT:USDT,NOWUSDT,NOW,USDT,USDT,NOW,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NTAPUSDT,NTAP/USDT:USDT,NTAPUSDT,NTAP,USDT,USDT,NTAP,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,NVDAUSDT,NVDA/USDT:USDT,NVDAUSDT,NVDA,USDT,USDT,NVDA,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,OKLOUSDT,OKLO/USDT:USDT,OKLOUSDT,OKLO,USDT,USDT,OKLO,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,ONDSUSDT,ONDS/USDT:USDT,ONDSUSDT,ONDS,USDT,USDT,ONDS,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,OPENAIUSDT,OPENAI/USDT:USDT,OPENAIUSDT,OPENAI,USDT,USDT,OPENAI,TRADEFI,true,class1,TRADING,0.01,0.001,0.001,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,ORCLUSDT,ORCL/USDT:USDT,ORCLUSDT,ORCL,USDT,USDT,ORCL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,OUSTUSDT,OUST/USDT:USDT,OUSTUSDT,OUST,USDT,USDT,OUST,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,OXYUSDT,OXY/USDT:USDT,OXYUSDT,OXY,USDT,USDT,OXY,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,PANWUSDT,PANW/USDT:USDT,PANWUSDT,PANW,USDT,USDT,PANW,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,PAXGUSDT,PAXG/USDT:USDT,PAXGUSDT,PAXG,USDT,USDT,GLD,TRADEFI,true,class2,TRADING,0.01,0.001,0.001,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,PLTRUSDT,PLTR/USDT:USDT,PLTRUSDT,PLTR,USDT,USDT,PLTR,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,PLUSDT,PL/USDT:USDT,PLUSDT,PL,USDT,USDT,PL,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,POETUSDT,POET/USDT:USDT,POETUSDT,POET,USDT,USDT,POET,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,QBTSUSDT,QBTS/USDT:USDT,QBTSUSDT,QBTS,USDT,USDT,QBTS,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,QCOMUSDT,QCOM/USDT:USDT,QCOMUSDT,QCOM,USDT,USDT,QCOM,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,QNTSTOCKUSDT,QNTSTOCK/USDT:USDT,QNTSTOCKUSDT,QNTSTOCK,USDT,USDT,QNTX,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,QQQUSDT,QQQ/USDT:USDT,QQQUSDT,QQQ,USDT,USDT,QQQ,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,QUBTUSDT,QUBT/USDT:USDT,QUBTUSDT,QUBT,USDT,USDT,QUBT,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,RCATUSDT,RCAT/USDT:USDT,RCATUSDT,RCAT,USDT,USDT,RCAT,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,RDDTUSDT,RDDT/USDT:USDT,RDDTUSDT,RDDT,USDT,USDT,RDDT,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,RDWUSDT,RDW/USDT:USDT,RDWUSDT,RDW,USDT,USDT,RDW,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,RGTIUSDT,RGTI/USDT:USDT,RGTIUSDT,RGTI,USDT,USDT,RGTI,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
