exchange,market_type,exchange_symbol,ccxt_symbol,ccxt_id,base_asset,quote_asset,settle,canonical_symbol,asset_class,verified,pair_data_class,status,tick_size,lot_size,min_order_size,min_order_notional,max_market_order_size,max_market_order_notional,max_position_size,max_position_notional,quantity_multiplier,price_multiplier
BINANCE,UPERP,DRAMUSDT,DRAM/USDT:USDT,DRAMUSDT,DRAM,USDT,USDT,DRAM,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,EWJUSDT,EWJ/USDT:USDT,EWJUSDT,EWJ,USDT,USDT,EWJ,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,200000.0,Infinity,200000.0,Infinity,1,1
BINANCE,UPERP,EWTUSDT,EWT/USDT:USDT,EWTUSDT,EWT,USDT,USDT,EWT,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,40000.0,Infinity,40000.0,Infinity,1,1
BINANCE,UPERP,EWYUSDT,EWY/USDT:USDT,EWYUSDT,EWY,USDT,USDT,EWY,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,200000.0,Infinity,200000.0,Infinity,1,1
BINANCE,UPERP,FLNCUSDT,FLNC/USDT:USDT,FLNCUSDT,FLNC,USDT,USDT,FLNC,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,GOOGLUSDT,GOOGL/USDT:USDT,GOOGLUSDT,GOOGL,USDT,USDT,GOOGL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,10000.0,Infinity,10000.0,Infinity,1,1
BINANCE,UPERP,HDUSDT,HD/USDT:USDT,HDUSDT,HD,USDT,USDT,HD,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,4000.0,Infinity,4000.0,Infinity,1,1
BINANCE,UPERP,HOODUSDT,HOOD/USDT:USDT,HOODUSDT,HOOD,USDT,USDT,HOOD,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,INTCUSDT,INTC/USDT:USDT,INTCUSDT,INTC,USDT,USDT,INTC,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,40000.0,Infinity,40000.0,Infinity,1,1
BINANCE,UPERP,JPMUSDT,JPM/USDT:USDT,JPMUSDT,JPM,USDT,USDT,JPM,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,4000.0,Infinity,4000.0,Infinity,1,1
BINANCE,UPERP,LITEUSDT,LITE/USDT:USDT,LITEUSDT,LITE,USDT,USDT,LITE,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,2000.0,Infinity,2000.0,Infinity,1,1
BINANCE,UPERP,LLYUSDT,LLY/USDT:USDT,LLYUSDT,LLY,USDT,USDT,LLY,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,30000.0,Infinity,30000.0,Infinity,1,1
BINANCE,UPERP,METAUSDT,META/USDT:USDT,METAUSDT,META,USDT,USDT,META,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,4000.0,Infinity,4000.0,Infinity,1,1
BINANCE,UPERP,MRVLUSDT,MRVL/USDT:USDT,MRVLUSDT,MRVL,USDT,USDT,MRVL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,MSFTUSDT,MSFT/USDT:USDT,MSFTUSDT,MSFT,USDT,USDT,MSFT,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,MSTRUSDT,MSTR/USDT:USDT,MSTRUSDT,MSTR,USDT,USDT,MSTR,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,20000.0,Infinity,20000.0,Infinity,1,1
BINANCE,UPERP,MUUSDT,MU/USDT:USDT,MUUSDT,MU,USDT,USDT,MU,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,8000.0,Infinity,8000.0,Infinity,1,1
BINANCE,UPERP,NATGASUSDT,NATGAS/USDT:USDT,NATGASUSDT,NATGAS,USDT,USDT,NATGAS,TRADEFI,true,class1,TRADING,0.001,0.1,0.1,5.0,3000000.0,Infinity,3000000.0,Infinity,1,1
BINANCE,UPERP,NBISUSDT,NBIS/USDT:USDT,NBISUSDT,NBIS,USDT,USDT,NBIS,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,5000.0,Infinity,5000.0,Infinity,1,1
BINANCE,UPERP,NOKUSDT,NOK/USDT:USDT,NOKUSDT,NOK,USDT,USDT,NOK,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,250000.0,Infinity,250000.0,Infinity,1,1
BINANCE,UPERP,NVDAUSDT,NVDA/USDT:USDT,NVDAUSDT,NVDA,USDT,USDT,NVDA,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,30000.0,Infinity,30000.0,Infinity,1,1
